"","year","age","age_comp","p","q","Nya"
"122",2017,"Ages 2-4",0.178217821782178,NA,0.187909031259135,1085.90059944725
"125",2018,"Ages 2-4",0.9,NA,0.849088598150787,6200.4803272566
"128",2019,"Ages 2-4",0.65,NA,0.616538883209207,5027.17348638452
"3",1977,"Ages 6-8",NA,0.019835001075427,NA,NA
"6",1978,"Ages 6-8",NA,0.0204314830137017,NA,NA
"9",1979,"Ages 6-8",NA,0.0323103410979409,NA,NA
"12",1980,"Ages 6-8",NA,0.0270770744366841,NA,NA
"15",1981,"Ages 6-8",NA,0.0354293628083971,NA,NA
"18",1982,"Ages 6-8",NA,0.00839067734837979,NA,NA
"21",1983,"Ages 6-8",NA,0.143955489835004,0.0153442672208668,2338.91613214154
"24",1984,"Ages 6-8",NA,0.0310999198930063,0.0158479468067306,2210.89646124498
"27",1985,"Ages 6-8",NA,0.0207126392946774,0.201686475994359,15721.7641526113
"30",1986,"Ages 6-8",0.0404040404040404,0.0314489478599586,0.039759503281846,551.427335150148
"33",1987,"Ages 6-8",0.02,0.0312330982398984,0.0201683018363946,407.572943503105
"36",1988,"Ages 6-8",0.02,0.0169760709642894,0.0219788790157651,209.715376317833
"39",1989,"Ages 6-8",0.07,0.0877203053570607,0.0545163734114502,1161.06717790194
"42",1990,"Ages 6-8",0.03,0.0046928839984862,0.0289424723281422,597.84464861182
"45",1991,"Ages 6-8",NA,0.0049019070470139,0.0215422180418755,375.814858486111
"48",1992,"Ages 6-8",0.03,0.00560282844240557,0.0304481154769114,603.136370287841
"51",1993,"Ages 6-8",NA,0.0150466806961445,0.025141537148062,617.647518535278
"54",1994,"Ages 6-8",NA,0.00492436977752902,0.0320936849549764,415.543321397187
"57",1995,"Ages 6-8",0.108910891089109,0.00561388638106885,0.0957690883266896,1564.18349749269
"60",1996,"Ages 6-8",0,0.00201700458728897,0.002784465002931,53.8736191728671
"63",1997,"Ages 6-8",0.01,0.00567733743285747,0.01271240061293,114.776683584481
"66",1998,"Ages 6-8",0,0.00274647023283209,0.00298446099398483,40.7169416924682
"69",1999,"Ages 6-8",0.01,0.0184304797496539,0.0133634646530052,171.081967288032
"72",2000,"Ages 6-8",0,0.00822869338789383,0.00416695181217752,71.6039111324943
"75",2001,"Ages 6-8",0,0.0217715961576125,0.00370893434144746,80.0818926815738
"78",2002,"Ages 6-8",0,0.00219280980445694,0.00352703597548195,43.3806063996672
"81",2003,"Ages 6-8",0,0.00549426405249569,0.00348939207788389,77.0514971215283
"84",2004,"Ages 6-8",0,0.017437882606671,0.00346045900531765,67.3970268291836
"87",2005,"Ages 6-8",0.02,0.0175895796695288,0.0208354457780657,334.066352076219
"90",2006,"Ages 6-8",0.01,0.024006989406268,0.0119891397732556,137.93038729943
"93",2007,"Ages 6-8",0.04,0.0229592933466171,0.0377992462994596,252.214540398442
"96",2008,"Ages 6-8",0,0.0113392429365026,0.00274617882113082,20.9130270014467
"99",2009,"Ages 6-8",0,0.00406215586840845,0.0041595609495746,39.7782845575842
"102",2010,"Ages 6-8",0.01,0.0160639987050579,0.0119990985556221,152.325093706906
"105",2011,"Ages 6-8",0.03,0.0111852509509354,0.0300091238839809,227.056325087954
"108",2012,"Ages 6-8",NA,0.0025133079695649,0.0202767637230947,196.096020195169
"111",2013,"Ages 6-8",NA,0.00980866278378976,0.019033695559029,201.869027886694
"114",2014,"Ages 6-8",0.01,0.0224987236000815,0.0120072888855638,104.195467106507
"117",2015,"Ages 6-8",0,0.0252636860267362,0.00474335864743587,30.8795140966151
"120",2016,"Ages 6-8",0.01,NA,0.0118875421303852,126.686712604253
"123",2017,"Ages 6-8",0.0099009900990099,NA,0.0122552947461421,70.4754993457108
"126",2018,"Ages 6-8",0,NA,0.00431590918154629,31.0663402502238
"129",2019,"Ages 6-8",0,NA,0.00257849294269103,20.978516539702
